19.632,100,66.043,66.043,-5.528,149980
19.417,101,66.605,66.605,-4.749,150080
19.177,102,67.188,67.188,-3.929,150082
18.900,103,67.788,67.788,-3.096,150084
18.597,104,68.356,68.356,-2.285,150179
18.023,105,69.231,69.231,-0.781,150181
16.519,106,70.770,70.770,2.531,150280
16.095,107,71.293,71.293,3.146,150281
15.670,108,71.867,71.867,3.736,150283
15.169,109,72.457,72.457,4.284,150285
14.576,110,73.023,73.023,4.768,150329
13.934,111,73.509,73.509,5.179,150331
13.279,112,73.921,73.921,5.537,150333
11.535,113,74.497,74.497,6.854,150379
11.465,114,74.153,74.153,7.173,150381
11.283,115,70.410,70.410,8.519,150382
11.192,116,69.141,69.141,8.869,150383
11.064,117,67.870,67.870,9.216,150384
10.904,118,66.613,66.613,9.559,150386
10.753,119,65.385,65.385,9.902,150428
10.621,120,64.219,64.219,10.249,150430
10.433,121,63.142,63.142,10.607,150431
10.231,122,62.235,62.235,10.971,150432
8.940,123,59.834,59.834,13.848,150434
8.823,124,59.572,59.572,14.119,150435
8.646,125,59.252,59.252,14.348,150436
8.314,126,53.902,53.902,16.063,150437
8.248,127,53.329,53.329,16.210,150480
7.878,128,49.523,49.523,17.543,150629
7.775,129,49.165,49.165,17.726,150630
7.619,130,48.754,48.754,17.882,150631
7.450,131,48.276,48.276,18.020,150632
7.142,132,47.375,47.375,18.262,150679
6.929,133,47.031,47.031,18.350,150686
6.530,134,46.722,46.722,18.427,150687
6.276,135,44.755,44.755,18.653,150688
6.525,136,43.885,43.885,18.745,150689
6.685,137,43.069,43.069,18.859,150690
7.026,138,42.253,42.253,19.024,150691
7.505,139,41.450,41.450,19.247,150779
8.008,140,40.703,40.703,19.440,150829
8.380,141,40.103,40.103,19.471,150879
8.500,142,39.745,39.745,19.244,150880
8.569,143,39.812,39.812,18.753,150929
8.570,144,40.234,40.234,18.079,150931
8.459,145,40.714,40.714,17.265,150932
8.430,146,41.126,41.126,16.386,150934
8.441,147,41.382,41.382,15.535,150936
8.362,148,41.462,41.462,14.765,150937
8.185,149,41.419,41.419,14.082,150939
10.308,150,37.762,37.762,9.714,150941
10.205,151,37.636,37.636,9.418,150942
10.086,152,37.685,37.685,9.142,150979
10.029,153,37.870,37.870,8.862,150981
10.029,154,38.656,38.656,8.243,150982
10.078,155,39.198,39.198,7.895,150984
10.150,156,39.789,39.789,7.522,150986
10.208,157,40.436,40.436,7.124,150988
10.273,158,41.124,41.124,6.699,150989
10.334,159,41.825,41.825,6.248,150991
10.381,160,42.489,42.489,5.774,150992
10.670,161,44.603,44.603,3.774,151079
11.465,162,45.340,45.340,1.376,151081
12.621,163,43.761,43.761,-0.868,151082
12.757,164,43.510,43.510,-1.319,151084
13.232,165,42.927,42.927,-3.165,151086
13.383,166,42.785,42.785,-3.637,151089
13.537,167,42.639,42.639,-4.113,151091
13.654,168,42.509,42.509,-4.579,151129
13.757,169,42.423,42.423,-5.020,151132
13.891,170,42.405,42.405,-5.425,151135
14.072,171,42.443,42.443,-5.793,151137
14.289,172,42.525,42.525,-6.118,151140
14.473,173,42.642,42.642,-6.396,151142
14.590,174,42.763,42.763,-6.632,151145
14.666,175,42.852,42.852,-6.834,151148
14.713,176,42.909,42.909,-7.007,151150
14.761,177,42.927,42.927,-7.165,151180
14.843,178,42.880,42.880,-7.325,151182
14.963,179,42.781,42.781,-7.498,151185
15.072,180,42.704,42.704,-7.680,151230
15.153,181,42.709,42.709,-7.864,151278
15.203,182,42.839,42.839,-8.044,151280
15.255,183,43.125,43.125,-8.219,151281
15.362,184,43.564,43.564,-8.372,151285
15.482,185,44.156,44.156,-8.510,151286
15.656,186,44.864,44.864,-8.645,151288
15.872,187,45.632,45.632,-8.787,151290
16.132,188,46.385,46.385,-8.949,151291
16.421,189,47.088,47.088,-9.124,151329
16.682,190,47.731,47.731,-9.291,151380
16.917,191,48.353,48.353,-9.439,151430
17.184,192,48.980,48.980,-9.554,151431
17.464,193,49.576,49.576,-9.605,151479
17.661,194,50.060,50.060,-9.543,151480
17.731,195,50.383,50.383,-9.354,151482
17.605,196,50.545,50.545,-9.044,151483
17.347,197,50.477,50.477,-8.653,151485
17.117,198,50.165,50.165,-8.234,151487
16.904,199,49.723,49.723,-7.780,151488
16.678,200,49.234,49.234,-7.264,151490
16.434,201,48.775,48.775,-6.681,151492
16.193,202,48.429,48.429,-6.039,151579
16.026,203,48.188,48.188,-5.347,151580
15.993,204,47.974,47.974,-4.611,151582
16.096,205,47.720,47.720,-3.850,151583
16.298,206,47.452,47.452,-3.100,151585
16.551,207,47.317,47.317,-2.393,151587
16.748,208,47.459,47.459,-1.738,151588
16.744,209,47.845,47.845,-1.133,151590
16.503,210,48.256,48.256,-0.565,151592
16.114,211,48.531,48.531,-0.024,151630
15.636,212,48.672,48.672,0.484,151631
14.490,213,48.813,48.813,1.426,151633
14.008,214,48.890,48.890,1.904,151634
13.935,215,47.196,47.196,3.806,151636
14.113,216,46.145,46.145,4.220,151637
14.303,217,44.990,44.990,4.602,151639
14.433,218,43.804,43.804,4.948,151641
14.505,219,42.628,42.628,5.267,151729
14.534,220,41.489,41.489,5.573,151731
14.516,221,40.431,40.431,5.873,151733
14.449,222,39.493,39.493,6.176,151734
14.359,223,38.655,38.655,6.478,151736
14.075,224,37.098,37.098,7.081,151737
13.945,225,36.275,36.275,7.390,151739
13.833,226,35.393,35.393,7.713,151741
13.754,227,34.455,34.455,8.043,151742
13.703,228,33.475,33.475,8.378,151779
13.697,229,32.452,32.452,8.717,151781
